Reaction Date,Reaction Type,Parent Type,Parent ID
"Dec 22, 2019, 12:10:59 PM",Kudos,Activity,2948342692
"Dec 22, 2019, 12:11:05 PM",Kudos,Activity,2948250288
"Dec 24, 2019, 1:50:08 PM",Kudos,Post,7370051
"Dec 24, 2019, 1:51:43 PM",Kudos,Activity,2953018614
"Dec 24, 2019, 1:51:44 PM",Kudos,Activity,2953309193
"Dec 24, 2019, 1:51:47 PM",Kudos,Post,7365782
"Dec 24, 2019, 1:51:56 PM",Kudos,Activity,2952439837
"Dec 24, 2019, 1:51:57 PM",Kudos,Activity,2952439870
"Dec 24, 2019, 1:51:58 PM",Kudos,Activity,2952439824
"Dec 24, 2019, 1:51:59 PM",Kudos,Activity,2951063933
"Dec 27, 2019, 4:50:59 AM",Kudos,Activity,2958237988
"Dec 27, 2019, 4:51:01 AM",Kudos,Activity,2957180572
"Dec 27, 2019, 4:51:02 AM",Kudos,Post,7398262
"Dec 27, 2019, 4:51:12 AM",Kudos,Activity,2955759667
"Dec 27, 2019, 4:51:13 AM",Kudos,Activity,2955728292
"Dec 27, 2019, 4:51:17 AM",Kudos,Activity,2954821640
"Dec 27, 2019, 4:51:17 AM",Kudos,Activity,2955176205
"Dec 29, 2019, 2:02:32 PM",Kudos,Activity,2964281177
"Dec 29, 2019, 2:02:36 PM",Kudos,Activity,2964228015
"Dec 29, 2019, 2:02:47 PM",Kudos,Activity,2961499464
"Jan 3, 2020, 10:51:33 PM",Kudos,Activity,2975272108
"Jan 5, 2020, 12:25:43 PM",Kudos,Activity,2983945197
"Jan 5, 2020, 12:25:48 PM",Kudos,Activity,2983976576
"Jan 5, 2020, 12:25:50 PM",Kudos,Activity,2983768033
"Jan 5, 2020, 12:25:51 PM",Kudos,Activity,2983722783
"Jan 5, 2020, 12:25:52 PM",Kudos,Activity,2983156707
"Jan 5, 2020, 12:25:53 PM",Kudos,Activity,2983022932
"Jan 5, 2020, 12:26:05 PM",Kudos,Activity,2979853632
"Jan 9, 2020, 7:42:29 PM",Kudos,Activity,2995382201
"Jan 9, 2020, 7:42:31 PM",Kudos,Activity,2992615910
"Jan 9, 2020, 7:42:33 PM",Kudos,Activity,2989647106
"Jan 9, 2020, 7:42:34 PM",Kudos,Activity,2987003952
"Jan 9, 2020, 7:42:44 PM",Kudos,Activity,2986855301
"Jan 13, 2020, 10:42:40 PM",Kudos,Activity,3007316428
"Jan 13, 2020, 10:42:42 PM",Kudos,Activity,3007256983
"Jan 13, 2020, 10:42:44 PM",Kudos,Activity,3003796999
"Jan 13, 2020, 10:42:45 PM",Kudos,Activity,3003588376
"Jan 13, 2020, 10:42:47 PM",Kudos,Activity,3000102891
"Jan 13, 2020, 10:42:48 PM",Kudos,Activity,2999994592
"Jan 13, 2020, 10:42:50 PM",Kudos,Activity,2998810979
"Jan 17, 2020, 5:32:41 AM",Kudos,Activity,3016033938
"Jan 17, 2020, 5:32:44 AM",Kudos,Activity,3013079960
"Jan 17, 2020, 5:32:46 AM",Kudos,Activity,3009864273
"Jan 22, 2020, 4:34:05 AM",Kudos,Activity,3030238302
"Jan 22, 2020, 4:34:06 AM",Kudos,Activity,3030041616
"Jan 22, 2020, 4:34:07 AM",Kudos,Activity,3027638098
"Jan 22, 2020, 4:34:08 AM",Kudos,Activity,3020532648
"Jan 23, 2020, 10:38:30 PM",Kudos,Activity,3035690435
"Jan 23, 2020, 10:38:32 PM",Kudos,Activity,3033296223
"Jan 24, 2020, 11:36:51 AM",Kudos,Activity,3038478921
"Jan 24, 2020, 11:36:55 AM",Kudos,Activity,3038479636
"Jan 24, 2020, 11:37:57 AM",Kudos,Activity,3038191578
"Jan 24, 2020, 11:38:04 AM",Kudos,Activity,3035641385
"Jan 26, 2020, 8:49:29 PM",Kudos,Activity,3043849536
"Jan 26, 2020, 8:49:42 PM",Kudos,Activity,3043732141
"Jan 26, 2020, 8:49:44 PM",Kudos,Activity,3043697656
"Jan 31, 2020, 4:27:19 AM",Kudos,Activity,3056611574
"Jan 31, 2020, 4:27:23 AM",Kudos,Activity,3053269127
"Jan 31, 2020, 4:27:24 AM",Kudos,Activity,3050306068
"Jan 31, 2020, 4:27:26 AM",Kudos,Activity,3047656746
"Jan 31, 2020, 4:27:28 AM",Kudos,Activity,3047386598
"Jan 31, 2020, 11:05:41 PM",Kudos,Activity,3058521178
"Feb 2, 2020, 7:43:36 AM",Kudos,Activity,3063752129
"Feb 2, 2020, 7:43:36 AM",Kudos,Activity,3063704356
"Feb 2, 2020, 7:43:38 AM",Kudos,Activity,3061056100
"Feb 2, 2020, 7:43:42 AM",Kudos,Activity,3061820303
"Feb 2, 2020, 7:43:43 AM",Kudos,Activity,3060776359
"Feb 2, 2020, 7:43:51 AM",Kudos,Activity,3063938862
"Feb 10, 2020, 11:46:42 PM",Kudos,Activity,3087731281
"Feb 10, 2020, 11:46:45 PM",Kudos,Activity,3087481838
"Feb 10, 2020, 11:46:47 PM",Kudos,Activity,3085232047
"Feb 10, 2020, 11:46:49 PM",Kudos,Activity,3084619557
"Feb 10, 2020, 11:46:52 PM",Kudos,Activity,3084479939
"Feb 10, 2020, 11:46:53 PM",Kudos,Activity,3084394414
"Feb 10, 2020, 11:46:56 PM",Kudos,Activity,3084386653
"Feb 10, 2020, 11:47:00 PM",Kudos,Activity,3080649891
"Feb 10, 2020, 11:47:07 PM",Kudos,Activity,3073497878
"Feb 10, 2020, 11:47:15 PM",Kudos,Activity,3070622294
"Feb 10, 2020, 11:47:18 PM",Kudos,Activity,3070598741
"Feb 10, 2020, 11:47:20 PM",Kudos,Activity,3067969337
"Feb 10, 2020, 11:47:22 PM",Kudos,Activity,3067782089
"Feb 10, 2020, 11:47:23 PM",Kudos,Activity,3064173600
"Feb 21, 2020, 4:24:14 AM",Kudos,Activity,3116480127
"Feb 21, 2020, 4:24:20 AM",Kudos,Activity,3113383657
"Mar 6, 2020, 1:14:53 AM",Kudos,Activity,3143663305
"Mar 6, 2020, 1:15:00 AM",Kudos,Activity,3143710126
"Mar 6, 2020, 1:15:01 AM",Kudos,Activity,3155759175
"Mar 7, 2020, 8:30:44 AM",Kudos,Activity,3160876376
"Mar 7, 2020, 8:31:20 AM",Kudos,Activity,3158732526
"Mar 7, 2020, 8:31:26 AM",Kudos,Activity,3143616941
"Mar 7, 2020, 8:31:26 AM",Kudos,Activity,3143641564
"Mar 7, 2020, 8:31:28 AM",Kudos,Activity,3143633653
"Mar 7, 2020, 8:31:29 AM",Kudos,Activity,3143613091
"Mar 7, 2020, 9:32:18 AM",Kudos,Activity,3160938449
